text,intent,labels
would it be possible to cancel the order i made,cancel_order,0
cancelling order,cancel_order,0
i need assistance canceling the last order i have made,cancel_order,0
problem with canceling the order i made,cancel_order,0
i dont know how to cancel the order i made,cancel_order,0
can you help me cancel the order i made,cancel_order,0
i would like to know about order cancellations,cancel_order,0
could you help me cancelling an order,cancel_order,0
i dont know how to cancel an order i made,cancel_order,0
help me cancelling my last order,cancel_order,0
i do not know how to cancel the last order i made,cancel_order,0
i need assistance with canceling an order i made,cancel_order,0
information about canceling an order,cancel_order,0
i would like to cancel an order,cancel_order,0
i need assistance with cancelling my orders,cancel_order,0
i need assistance with canceling the order i have made,cancel_order,0
assistance canceling the order i have made,cancel_order,0
question about cancelling the last order,cancel_order,0
help me to cancel my last order,cancel_order,0
problem with cancelling orders,cancel_order,0
problems with cancelling an order,cancel_order,0
assistance with cancelling the order i made,cancel_order,0
i need help with cancelling an order i have made,cancel_order,0
i have problems with cancelling my order,cancel_order,0
i do not want to pay for the order i made,cancel_order,0
i have a problem with cancelling orders,cancel_order,0
problems with canceling orders,cancel_order,0
where can i get information about canceling orders,cancel_order,0
i want assistance cancelling an order i have made,cancel_order,0
cancel order,cancel_order,0
find information about order cancelations,cancel_order,0
can you give me information about cancelling orders,cancel_order,0
i have a question about cancelling my last order,cancel_order,0
i dont know how to cancel my last order,cancel_order,0
i have problems with canceling my last order,cancel_order,0
problem with cancelling an order i have made,cancel_order,0
i need help with canceling the last order i made,cancel_order,0
how can i find information about cancelling orders,cancel_order,0
i want to know more about order cancelations,cancel_order,0
i want help to cancel an order i have made,cancel_order,0
i want assistance canceling an order,cancel_order,0
can you help me to cancel the last order i have made,cancel_order,0
give me information about cancelling orders,cancel_order,0
help cancelling my order,cancel_order,0
i have a question about canceling my order,cancel_order,0
help me canceling my last order,cancel_order,0
would it be possible to cancel my order,cancel_order,0
where could i get information about cancelling an order,cancel_order,0
could you help me cancelling an order i made,cancel_order,0
where can i get information about canceling an order,cancel_order,0
i have to cancel my last order,cancel_order,0
question about canceling my order,cancel_order,0
assistance cancelling my order,cancel_order,0
i have problems with canceling the order i have made,cancel_order,0
help canceling the last order,cancel_order,0
help canceling an order,cancel_order,0
i try to cancel the order i made,cancel_order,0
i need to cancel my order,cancel_order,0
could you help me cancelling the last order i made,cancel_order,0
where could i cancel the order i made,cancel_order,0
i dont know how i could cancel an order i have made,cancel_order,0
i have problems with cancelling the last order i made,cancel_order,0
help me to cancel an order i have made,cancel_order,0
i am trying to find information about order cancelations,cancel_order,0
where can i cancel my order,cancel_order,0
i need assistance canceling the order i made,cancel_order,0
would it be possible to cancel the last order i have made,cancel_order,0
i have a question about canceling the last order,cancel_order,0
i need help to cancel the order i made,cancel_order,0
i do not know how i could cancel an order,cancel_order,0
cancel an order i have made,cancel_order,0
help with cancelling the order i have made,cancel_order,0
i cant pay for the order i have made,cancel_order,0
i cant pay for the order,cancel_order,0
i need help cancelling an order i made,cancel_order,0
would you give me information about canceling orders,cancel_order,0
help me canceling the last order i have made,cancel_order,0
i am looking for information about order cancelations,cancel_order,0
i dont know how i can cancel the last order i have made,cancel_order,0
how could i cancel the last order i have made,cancel_order,0
is it possible to cancel my order,cancel_order,0
help cancelling the last order i have made,cancel_order,0
i have a question about canceling orders,cancel_order,0
how to cancel the last order i have made,cancel_order,0
i dont want an order i have made,cancel_order,0
i have a question about cancelling my order,cancel_order,0
how could i cancel an order i made,cancel_order,0
i want help cancelling an order i have made,cancel_order,0
i have problems with cancelling the order i have made,cancel_order,0
how do i cancel my order,cancel_order,0
could you help me to cancel my last order,cancel_order,0
can you help me cancel my last order,cancel_order,0
i do not want to pay for an order i made,cancel_order,0
assistance cancelling the last order,cancel_order,0
assistance cancelling an order i made,cancel_order,0
help with canceling the order i have made,cancel_order,0
would you give me information about order cancelations,cancel_order,0
where could i cancel the last order,cancel_order,0
i need help to cancel the last order i have made,cancel_order,0
will you give me information about canceling an order,cancel_order,0
how can i cancel an order i made,cancel_order,0
can you help me cancelling the order i made,cancel_order,0
how can i find information about canceling orders,cancel_order,0
i have problems with cancelling an order i have made,cancel_order,0
help with canceling the order i made,cancel_order,0
i cant pay for the last order i have made,cancel_order,0
assistance with cancelling the order i have made,cancel_order,0
help to cancel an order i made,cancel_order,0
question about canceling my orders,cancel_order,0
i have a problem with cancelling my last order,cancel_order,0
i need help canceling my order,cancel_order,0
where could i cancel an order i made,cancel_order,0
assistance cancelling the last order i made,cancel_order,0
could you give me information about cancelling orders,cancel_order,0
could you help me canceling the order i have made,cancel_order,0
assistance cancelling the order i made,cancel_order,0
help with canceling an order i made,cancel_order,0
will you give me information about order cancelations,cancel_order,0
how do i cancel the last order i made,cancel_order,0
i want help canceling the order i have made,cancel_order,0
problems with cancelling the order i made,cancel_order,0
i need help to cancel an order,cancel_order,0
could you help me cancelling the order i made,cancel_order,0
i would like information about canceling an order,cancel_order,0
i want information about cancelling orders,cancel_order,0
i need assistance to cancel an order,cancel_order,0
i dont know how i can cancel the last order,cancel_order,0
i am trying to cancel the last order,cancel_order,0
i have problems with cancelling an order,cancel_order,0
i need assistance with canceling the last order i have made,cancel_order,0
i do not want the order,cancel_order,0
i would like to cancel my last order,cancel_order,0
help to cancel the order i made,cancel_order,0
help me canceling the order i made,cancel_order,0
i dont know how to cancel an order,cancel_order,0
i have got to cancel an order,cancel_order,0
i have problems with canceling an order i have made,cancel_order,0
canceling order,cancel_order,0
i am trying to find information about cancelling an order,cancel_order,0
i have a problem with canceling the last order i have made,cancel_order,0
help me canceling my order,cancel_order,0
can you tell me about order cancellations,cancel_order,0
i need help with canceling the order i have made,cancel_order,0
tell me about order cancelations,cancel_order,0
how could i find information about order cancellations,cancel_order,0
i need help to cancel my order,cancel_order,0
help me cancelling an order i made,cancel_order,0
i am trying to cancel an order i made,cancel_order,0
i dont know how i can cancel the last order i made,cancel_order,0
could you help me cancelling the last order,cancel_order,0
how could i cancel an order,cancel_order,0
help me canceling the last order i made,cancel_order,0
help with cancelling my last order,cancel_order,0
i cannot pay for my last order,cancel_order,0
i do not know how i could cancel the last order i made,cancel_order,0
i want to know more about order cancellations,cancel_order,0
question about cancelling my last order,cancel_order,0
i have problems with cancelling the last order i have made,cancel_order,0
how to cancel an order,cancel_order,0
could you help me to cancel an order,cancel_order,0
i dont know how i can cancel an order i have made,cancel_order,0
is it possible to cancel the order i have made,cancel_order,0
i need help canceling the order i have made,cancel_order,0
